timestamp,ue_rnti,dl_cqi,dl_mcs,dl_bitrate,dl_bler,ul_snr,ul_mcs,ul_bitrate,ul_bler,ul_phr,ul_bsr,nof_rach
1698341206.112,74,5.0,7.189189,75040.0,0.0,26.00506,24.0,4359280.0,0.0,40.0,101852,6
1698341206.2120001,74,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,6
1698341206.312,74,5.0,7.4545455,232347.81,0.0,25.695042,24.0,10312695.0,0.0,40.0,101852,6
1698341206.412,74,5.0,7.4848485,171360.0,0.0,26.010244,24.0,7458480.0,0.0,40.0,0,6
1698341206.512,74,5.0,0.0,133999.98,0.0,25.735937,24.0,10257599.0,0.0,0.0,120538,6
1698341206.612,74,0.1,8.0,170105.25,0.0,26.411348,24.0,6300631.0,0.0,0.0,0,6
1698341206.7120001,74,5.0,7.611111,26800.0,0.0,26.599041,24.0,2307760.0,0.0,40.0,120538,6
1698341206.812,74,0.1,8.0,168499.98,0.0,26.382748,24.0,5743499.5,0.0,0.0,0,6
1698341206.913,74,0.1,0.0,0.0,0.0,26.787327,24.0,2420266.5,0.0,40.0,140365,6
1698341207.012,74,5.0,7.39785,208880.0,0.0,25.531462,24.0,10150800.0,0.0,40.0,11738,6
1698341207.112,74,0.1,0.0,0.0,0.0,26.364075,24.0,2135333.25,0.0,40.0,140365,6
1698341207.2120001,74,0.1,6.0,224666.67,0.0,24.542929,24.0,10328000.0,0.0,40.0,11738,6
1698341207.312,74,5.3333335,8.0,37360.0,0.0,25.14712,24.0,1303920.0,0.0,0.0,0,6
1698341207.412,74,0.1,0.0,268000.0,0.0,24.8868,24.0,10152000.0,0.0,0.0,42172,6
1698341207.512,74,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,6
1698341207.6130002,74,5.5,7.772152,165520.0,0.0,24.709713,24.0,8569120.0,0.0,40.0,42172,6
1698341207.7120001,74,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,6
1698341207.812,74,0.1,0.0,178666.67,0.0,24.350975,24.0,10680000.0,0.0,0.0,72259,6
1698341207.912,74,5.0,7.785714,128000.0,0.0,25.014599,24.0,5406960.0,0.0,40.0,0,6
1698341208.012,74,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72259,6
1698341208.112,74,5.0,7.318182,127040.0,0.0,25.336967,24.0,5406960.0,0.0,40.0,0,6
1698341208.2120001,74,5.0,7.8,75474.74,0.0,25.424662,24.0,4403313.0,0.0,40.0,101852,6
1698341208.312,74,5.0,7.614286,168871.28,0.0,25.551764,24.0,7384633.5,0.0,40.0,0,6
1698341208.412,74,5.0,7.8461537,81217.38,0.0,25.504446,24.0,4738347.5,0.0,40.0,101852,6
1698341208.512,74,5.0,7.6190476,167913.03,0.0,25.42162,24.0,7224260.5,0.0,40.0,0,6
1698341208.6130002,74,5.0,7.5,31841.584,0.0,25.133757,24.0,2390653.5,0.0,40.0,120538,6
1698341208.7120001,74,5.0,7.486842,215011.23,0.0,25.047134,24.0,9292854.0,0.0,40.0,0,6
1698341208.812,74,5.0,7.5263157,30804.596,0.0,25.585762,24.0,2652597.5,0.0,40.0,120538,6
1698341208.912,74,5.0,7.5925927,217840.0,0.0,25.366508,24.0,9510000.0,0.0,40.0,0,6
1698341209.012,74,5.0,0.0,0.0,0.0,27.185566,24.0,320299.97,0.0,40.0,140365,6
1698341209.112,74,5.0,7.703703,222683.53,0.0,25.993183,24.0,10252253.0,0.0,40.0,11738,6
1698341209.213,74,5.0,8.0,37200.0,0.0,26.580406,24.0,1560160.0,0.0,40.0,140365,6
1698341209.312,74,5.0,7.84,224421.03,0.0,25.86027,24.0,10290947.0,0.0,40.0,11738,6
1698341209.412,74,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,6
1698341209.512,74,5.0,7.605263,166545.44,0.0,26.263594,24.0,8547797.0,0.0,40.0,42172,6
1698341209.612,74,5.0,0.0,22333.332,0.0,26.82721,24.0,682999.94,0.0,0.0,0,6
1698341209.7120001,74,5.0,7.776119,225577.45,0.0,26.028353,24.0,10263549.0,0.0,40.0,42172,6
1698341209.812,74,5.0,7.4,79760.0,0.0,25.954573,24.0,3355440.0,0.0,40.0,0,6
1698341209.912,74,5.0,7.773585,172941.17,0.0,26.14505,24.0,9364941.0,0.0,40.0,72259,6
1698341210.012,74,5.0,7.571429,76753.62,0.0,26.046389,24.0,2973217.25,0.0,0.0,0,6
1698341210.112,74,5.0,7.7894735,118787.87,0.0,25.99513,24.0,6475555.0,0.0,40.0,72259,6
1698341210.2120001,74,5.0,7.785714,66500.0,0.0,26.449324,24.0,2704874.75,0.0,0.0,0,6
1698341210.313,74,5.0,7.806452,118603.17,0.0,26.096104,24.0,7089016.0,0.0,40.0,101852,6
1698341210.412,74,5.0,7.854839,170560.0,0.0,25.870138,24.0,7351680.0,0.0,40.0,0,6
1698341210.512,74,5.0,7.756757,124533.33,0.0,25.88601,24.0,7265466.5,0.0,40.0,101852,6
1698341210.612,74,4.0,7.12,134000.0,0.0,25.810635,24.0,5592400.0,0.0,40.0,0,6
1698341210.7120001,74,4.3333335,7.5882354,74880.0,0.0,25.808527,24.0,4359280.0,0.0,40.0,101852,6
1698341210.812,74,4.0,6.9130435,134285.7,0.0,25.689133,24.0,5304428.5,0.0,40.0,0,6
1698341210.912,74,4.0,7.0869565,48727.27,0.0,25.442986,24.0,4195927.0,0.0,40.0,120538,6
1698341211.012,74,4.0,7.4942527,219440.0,0.0,25.613447,24.0,9510000.0,0.0,40.0,0,6
1698341211.112,74,4.0,7.15,55833.332,0.0,26.611565,24.0,4807833.5,0.0,40.0,120538,6
1698341211.2120001,74,5.0,7.6363635,203914.89,0.0,26.585155,24.0,8729872.0,0.0,40.0,0,6
1698341211.312,74,4.0,0.0,0.0,0.0,27.946844,24.0,256240.0,0.0,40.0,140365,6
1698341211.413,74,4.0,6.864865,238222.22,0.0,25.649,24.0,10304533.0,0.0,40.0,11738,6
1698341211.512,74,5.0,0.0,0.0,0.0,27.810198,24.0,595906.94,0.0,40.0,140365,6
1698341211.612,74,5.0,7.571429,207440.0,0.0,26.403828,24.0,10257600.0,0.0,40.0,11738,6
1698341211.7120001,74,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,6
1698341211.812,74,0.1,7.8235292,228800.0,0.0,25.73664,24.0,10317943.0,0.0,0.0,42172,6
1698341211.912,74,5.0,7.516129,79760.0,0.0,25.70698,24.0,3355440.0,0.0,40.0,0,6
1698341212.013,74,0.1,7.903226,226424.25,0.0,25.754807,24.0,10296000.0,0.0,0.0,42172,6
1698341212.112,74,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,6
1698341212.2120001,74,5.0,7.467742,116960.0,0.0,26.076561,24.0,6410800.0,0.0,40.0,72259,6
1698341212.312,74,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,6
1698341212.412,74,0.1,8.0,233043.45,0.0,25.868856,24.0,10312695.0,0.0,40.0,72259,6
1698341212.512,74,5.0,7.632653,126732.67,0.0,25.883234,24.0,5353425.5,0.0,40.0,0,6
1698341212.612,74,0.1,8.0,239599.98,0.0,25.959446,24.0,10257599.0,0.0,40.0,101852,6
1698341212.7120001,74,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,6
1698341212.812,74,5.0,7.785714,74720.0,0.0,26.313484,24.0,4359280.0,0.0,40.0,101852,6
1698341212.912,74,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,6
1698341213.012,74,0.1,7.625,167499.98,0.0,26.075382,24.0,10416000.0,0.0,0.0,120538,6
1698341213.112,74,5.0,7.7831326,216316.83,0.0,26.336292,24.0,9415841.0,0.0,40.0,0,6
1698341213.2120001,74,0.1,7.75,223333.33,0.0,26.616581,24.0,10328000.0,0.0,0.0,120538,6
1698341213.312,74,0.1,0.0,146181.81,0.0,26.765926,24.0,3499636.0,0.0,0.0,0,6
1698341213.413,74,5.0,0.0,0.0,0.0,26.760944,24.0,359445.53,0.0,40.0,140365,6
1698341213.512,74,0.1,7.5,178666.67,0.0,26.655298,24.0,10680000.0,0.0,0.0,11738,6
1698341213.612,74,0.1,0.0,0.0,0.0,26.019403,24.0,10679999.0,0.0,0.0,140365,6
1698341213.713,74,5.0,7.612903,211326.72,0.0,26.340006,24.0,10261782.0,0.0,40.0,11994,6
1698341213.812,74,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,6
1698341213.912,74,5.0,7.917808,165520.0,0.0,26.376799,24.0,8462320.0,0.0,40.0,42172,6
1698341214.012,74,5.0,7.64,80565.65,0.0,26.381351,24.0,3281454.25,0.0,40.0,0,6
1698341214.112,74,4.6666665,7.630137,165200.0,0.0,26.326635,24.0,8462320.0,0.0,40.0,41916,6
1698341214.2120001,74,4.0,7.5,77166.664,0.0,26.352686,24.0,2983000.0,0.0,40.0,0,6
1698341214.312,74,5.0,7.7966104,125106.375,0.0,26.39183,24.0,6819999.5,0.0,40.0,72259,6
1698341214.412,74,5.0,7.7058825,127680.0,0.0,26.305124,24.0,5406960.0,0.0,40.0,0,6
1698341214.513,74,5.0,7.8,132215.05,0.0,26.374998,24.0,7008172.0,0.0,40.0,72515,6
1698341214.612,74,5.0,7.7,115826.08,0.0,26.3031,24.0,4994347.5,0.0,40.0,0,6
1698341214.7120001,74,5.0,7.780488,74720.0,0.0,26.490479,24.0,4359280.0,0.0,40.0,101852,6
1698341214.812,74,4.5,7.4,160808.98,0.0,26.391052,24.0,6987775.0,0.0,40.0,0,6
1698341214.912,74,5.0,7.5,85517.234,0.0,26.556374,24.0,5010666.5,0.0,40.0,101852,6
1698341215.012,74,5.0,7.6086955,170240.0,0.0,26.492496,24.0,7458480.0,0.0,40.0,0,6
1698341215.1130002,74,5.0,7.647059,39703.703,0.0,26.489902,24.0,2980938.25,0.0,40.0,120794,6
1698341215.2120001,74,5.0,7.714286,215898.72,0.0,26.352594,24.0,9305924.0,0.0,40.0,0,6
1698341215.312,74,5.0,7.55,26800.0,0.0,26.558681,24.0,2307760.0,0.0,40.0,120538,6
1698341215.412,74,5.0,7.6842103,214545.44,0.0,26.238255,24.0,9186389.0,0.0,40.0,0,6
1698341215.512,74,5.0,0.0,0.0,0.0,27.817549,24.0,341653.3,0.0,40.0,140365,6
1698341215.612,74,5.0,7.5841584,207440.0,0.0,26.011572,24.0,10257600.0,0.0,40.0,11738,6
1698341215.7120001,74,5.0,0.0,0.0,0.0,27.323584,24.0,355888.875,0.0,40.0,140365,6
1698341215.812,74,5.0,7.7272725,225577.45,0.0,26.018488,24.0,10263549.0,0.0,40.0,11738,6
